"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"37"	"TRINITY_DN100131_c0_g1"	-0.669266205143233	0.604147337071125	-2.96358175847725	0.0121680222790708	0.0550562265852209	-2.97360961483206	"Unchanged"	60.18	68.7	46.6	46.73	48	20.86	29.21	40.21	40.09	25.98
"38"	"TRINITY_DN10014_c0_g1"	0.560852542842862	2.27140127474003	2.65054905734577	0.0215966590865926	0.0815030850809755	-3.84839516871976	"Unchanged"	152.97	83.82	123.57	70.35	133.17	239.31	108.67	167.68	194.13	114.54
"39"	"TRINITY_DN10014_c0_g3"	0.39032763536874	1.32189852958927	1.57619670619564	0.141694191270816	0.290664128784418	-5.3746169037668	"Unchanged"	59.87	47.51	102.11	67.06	43.74	103.96	67.78	59.37	101.42	56.5
"40"	"TRINITY_DN10014_c2_g1"	-1.53518908793511	-0.23927654258785	-3.80249049952065	0.00264420791094947	0.01967995518397	-1.38569302194028	"Down-regulated"	54.87	33.21	63.7	17.63	51.71	7.16	9.28	8.13	26.3	13.34
"41"	"TRINITY_DN10015_c0_g1"	0.560057891007706	3.52634299794053	6.91495810234927	1.87216270572325e-05	0.000875102528503276	3.07437275782715	"Unchanged"	285.57	252.18	256.01	238.66	252	406.16	320.37	376.62	448.74	354.6
"42"	"TRINITY_DN10015_c0_g2"	-0.136109699337956	2.59959149465749	-0.763451863285675	0.460354564648605	0.6291716743926	-6.55772043363219	"Unchanged"	166.67	157.62	173	234.33	145.27	139.71	181.88	153.1	194.55	119.5
"43"	"TRINITY_DN10015_c0_g3"	0.440639763425874	1.71159543392606	2.71110353802763	0.0193328214174965	0.0755844946606566	-3.62968004101659	"Unchanged"	91.5	90.76	79.19	50.37	80.68	93.2	92.79	101.35	115	109.15
"44"	"TRINITY_DN10015_c1_g1"	-0.0938662907267071	1.16198526511989	-0.488963773808648	0.633930116040706	0.768872626637753	-6.40993934999498	"Unchanged"	61	52	91	54	70	70	46	60	78	37
"45"	"TRINITY_DN10015_c2_g1"	-0.625741338957152	3.96738306190357	-6.68771368725367	2.57017779208151e-05	0.00105266973109266	2.69318566747859	"Unchanged"	532.8	580.8	524.69	481.54	514.49	328.57	305.04	388	376.67	318.75
"46"	"TRINITY_DN100151_c0_g1"	0.277184295827684	-1.26799621915072	0.878846949111237	0.397224308975549	0.574119357525031	-5.52985904841577	"Unchanged"	13	11	9	10	13	14	8	6	15	13
