"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"3655","TRINITY_DN72526_c0_g1",-1.95426546686554,-0.440118732443546,-5.73669129724096,0.000104343083841536,0.00245154413530238,1.52103566668068,48.93,43.82,34.25,43.41,39,10.2,8.04,9.22,18.15,2.02
"3656","TRINITY_DN72528_c0_g1",-3.42609573837933,0.821656077652625,-12.6469846675871,3.64081769377146e-08,3.14329706637974e-05,8.31704814216373,222.35,163.54,137.56,113.68,161.69,12.04,14.05,12.1,16.06,10.02
"3657","TRINITY_DN72532_c0_g1",-3.16028412596839,-2.54663474340725,-5.1316931828686,0.000271643608223517,0.00444915687650959,-0.139612484508337,15,12,18,13,17,0,0,1,5,2
"3658","TRINITY_DN72540_c0_g1",1.13058697573809,0.587176978353518,5.27262278711979,0.000216371728539009,0.00387170937411582,0.925468375551148,32,25,40,26,24,73,62,57,58,45
"3659","TRINITY_DN7257_c0_g1",-1.03984942975739,5.85867004591778,-8.92936657809552,1.47674972207272e-06,0.000206360067417724,5.48820417483496,2363.9,1816.76,3054.82,2104.39,2218.33,1223.95,1036.01,967.36,1400.2,882.3
"3660","TRINITY_DN7261_c1_g1",-1.66090037832444,-0.580530776791336,-5.33705244741952,0.000195180634830607,0.00363439572374924,0.976542383463715,42.82,41.12,35.33,18.57,33.55,7.51,10.1,7.93,9,9.58
"3661","TRINITY_DN72621_c0_g1",1.61044473528088,0.328966053149136,7.1060071116941,1.44167121053787e-05,0.000744671783593211,3.45615894458727,28.42,17.83,22.15,13.58,24.03,42.2,55.47,64.43,74.29,55.56
"3662","TRINITY_DN72653_c0_g1",1.67432603647967,-0.704784685071579,4.13955945801307,0.00145462673091531,0.0133263605391974,-0.81344553435619,6,7,9,14,22,33,31,20,27,29
"3663","TRINITY_DN72684_c0_g1",-1.05312467126435,-0.662634769614493,-3.8304303303173,0.00251528899127883,0.0190144660909863,-1.31464569801619,36,23,23,24,25,7,7,13,12,14
"3664","TRINITY_DN72695_c0_g1",1.86134762130298,-1.32627859550787,3.9882373419351,0.00189941019216212,0.0158040109778017,-1.09686932914535,3,6,7,14,8,26,11,22,23,13
"3665","TRINITY_DN72741_c0_g1",-1.13497609652522,-0.361323847012288,-3.29146474876061,0.006671582250938,0.0368063728786661,-2.24652433117972,55.52,40.6,40.97,16.56,23.37,15.82,11.03,11.53,15.3,9.93
"3666","TRINITY_DN72743_c0_g1",-1.88438670265854,0.0611590843519674,-4.29874006002021,0.00110181516709684,0.0110854764271534,-0.583031582895978,33,81,69,32,95,16,5,15,20,12
"3667","TRINITY_DN72748_c0_g1",-1.00226246362796,0.372789378162911,-3.23364626564631,0.00741569411076677,0.039567100096009,-2.45897571144559,96.76,54.91,33.41,42.53,43.58,27.44,21.35,20.3,20.15,25.33
"3668","TRINITY_DN7278_c0_g1",-1.62022231995603,5.68353712372993,-5.19419772144458,0.000245488313607467,0.00418700372073494,0.167502139809712,2105.8,3396.43,1932.37,1929.38,3542.75,719.05,447.44,498.05,1655.17,1113.06
"3669","TRINITY_DN72842_c0_g1",-1.04870117118334,2.11293517703369,-3.22964498869954,0.00747019756680197,0.0397603988507609,-2.77026510202551,347.8,127.03,111.31,127.8,204.39,85.66,110.89,59.61,83.77,70.01
"3670","TRINITY_DN72930_c0_g1",-1.1657763045657,-0.692204624722668,-3.96781883740168,0.00196941371083315,0.016232517221689,-1.08807827781486,31,20,32,19,35,7,8,9,19,7
"3671","TRINITY_DN72975_c0_g1",-2.06347264058743,-0.62125742045221,-3.39113298591524,0.00556198360421365,0.0325645047026316,-2.01127893069647,43.25,38,17.78,29.7,81.47,2.05,8.39,3.15,17.66,13.44
