"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"74"	"TRINITY_DN10011_c0_g1"	0.252044734002678	0.268405493836955	0.72870509892127	0.479723899467616	0.645009859219997	-6.040523702242	"Unchanged"	27.45	37.65	40.32	25.48	23.43	38.11	13.82	25.1	84.47	24.02
"75"	"TRINITY_DN100111_c0_g1"	-0.242178313309321	0.974294809550606	-0.60045238445309	0.559023539481285	0.710798829671508	-6.28408425947043	"Unchanged"	49	59	59	86	41	78	62	60	46	12
"76"	"TRINITY_DN100113_c0_g1"	-0.741607344481972	1.77910753427443	-3.00087863929216	0.0107021564166796	0.0491736962065188	-3.0733839711794	"Unchanged"	175	135	68	100	124	77	59	65	82	52
"77"	"TRINITY_DN100114_c0_g1"	0.837855219887862	-1.06439772946501	2.2756894920558	0.0413538858588706	0.124854600796877	-3.7916507941211	"Unchanged"	13	10	10	7	10	23	12	13	10	21
"78"	"TRINITY_DN100119_c0_g1"	-0.547968158583251	-1.15154631346714	-0.709100433701754	0.49138467131223	0.654859923517125	-5.67915993126796	"Unchanged"	6	23	12	17	31	42	19	2	11	1
"79"	"TRINITY_DN10012_c0_g1"	0.514796717944712	5.93838229075986	6.41547766878302	2.85863532161907e-05	0.00101072018928139	2.33867223039165	"Unchanged"	1273	1401.01	1318	1319	1351	2091	1593.02	2001	2047	1681.35
"80"	"TRINITY_DN100124_c0_g1"	-3.30804204555213	-1.61812814958918	-4.78949807812392	0.000403282976629016	0.00529177259558874	-0.0675484602336427	"Down-regulated"	42	35	29	13	28	0	2	1	9	3
"81"	"TRINITY_DN100131_c0_g1"	-0.864132718446131	0.740505217151536	-2.0074717147674	0.067009471212726	0.173394745581233	-4.58057945153685	"Unchanged"	101	60	47	33	79	16	28	40	99	12
"82"	"TRINITY_DN10014_c0_g1"	0.563593272785583	4.50027709796828	4.98082743098753	0.00028980247640825	0.00426054935310542	0.0798463738456103	"Unchanged"	577	457	511.59	402.42	463.71	878	682	606	835	583
"83"	"TRINITY_DN100140_c0_g1"	-0.060988950990871	0.645080752197134	-0.248107193035638	0.808114089888313	0.886998037867081	-6.36479383042716	"Unchanged"	37	38	45	62	36	53	32	39	34	32
"84"	"TRINITY_DN10015_c0_g1"	0.490560727082875	0.0396125776789879	1.47972400071606	0.163908251534511	0.317777011112623	-5.21077545040688	"Unchanged"	21.92	25.39	31.46	9.54	39.46	35.12	40.65	21.24	32.26	23.03
"85"	"TRINITY_DN10015_c0_g2"	0.144736850730165	2.80338134104342	0.666808782251548	0.517114419585261	0.676668201994436	-6.65913572265032	"Unchanged"	227.05	140.77	156.43	203.16	150.19	163.58	135.15	168.04	376.08	160.47
"86"	"TRINITY_DN10015_c0_g3"	1.11193743884011	-1.41989158026928	2.78167155721734	0.0161674069817951	0.0652890838609504	-2.92386130277241	"Unchanged"	8	8	14	4	6	11	6	16	24	10
"87"	"TRINITY_DN10015_c4_g1"	-0.424080970261326	0.335954480658606	-1.29926420516045	0.217499719619069	0.384002223105392	-5.49867542624238	"Unchanged"	53.22	30.89	43.68	29.42	38.32	19.75	41.07	43.45	16.44	23.14
"88"	"TRINITY_DN10016_c0_g1"	0.218162233095733	4.32449529868696	0.901909377289547	0.38429523333568	0.559592829467033	-6.76255967921376	"Unchanged"	598.18	383.54	566.26	527.37	376.28	445.55	368.19	598.53	1234.71	419.08
"89"	"TRINITY_DN10016_c0_g2"	0.197662911855791	1.49277554908222	0.689483692905885	0.503222348140277	0.664965242978165	-6.34718776542211	"Unchanged"	70.5	73.79	73.9	60.78	69.99	49.5	60.97	56.84	197.83	67.77
"90"	"TRINITY_DN100164_c0_g1"	-0.050280626499227	0.00729332071866262	-0.199227047584532	0.845315836709142	0.909968050948174	-6.23285063194271	"Unchanged"	31	34	28	22	25	17	18	34	38	17
"91"	"TRINITY_DN100169_c0_g1"	-0.437699529331996	-1.13279119482129	-1.32852351379435	0.207945456852555	0.372782367595758	-5.11144720497222	"Unchanged"	18.39	11.98	15.63	12.5	14.07	10.44	7.93	15.79	6.91	5.24
"92"	"TRINITY_DN10017_c0_g1"	-0.242801467698358	5.82040390223524	-2.52071085206891	0.0263305590095714	0.0915892658599054	-4.60970765786672	"Unchanged"	1876.99	1427	1782.72	1319	1633.77	1463.95	1142	1129	1622.15	1342
"93"	"TRINITY_DN10017_c0_g2"	-1.55245730778575	0.84394842999894	-4.64381208070774	0.000520346974292584	0.00633436858405093	0.0381189618477045	"Down-regulated"	104	54	62	66	147.98	20.01	16	35	47.02	17
"94"	"TRINITY_DN10017_c1_g1"	-0.546598136371072	-1.12042123621829	-1.15737596106909	0.268934898341313	0.442546857896189	-5.29815219210035	"Unchanged"	16.34	17.77	7.92	24.05	15.81	8.09	5.71	23.26	9.57	2.61
"95"	"TRINITY_DN100172_c0_g1"	4.22660047339451	-2.17656837408432	4.6255464215311	0.000537346361552177	0.00648313847106986	-0.288534371778259	"Up-regulated"	6	1	0	4	0	69	13	30	13	17
"96"	"TRINITY_DN10018_c0_g1"	-0.0371443215498152	3.98776177470831	-0.148185367046961	0.884579820416367	0.933607659303846	-7.11661564022415	"Unchanged"	458.8	344.87	285.11	435.65	583.71	341.08	450.82	515.49	285.96	495.75
"97"	"TRINITY_DN10018_c1_g1"	-0.0525011103560978	0.834780338640015	-0.133899226680577	0.895631723161373	0.939800637650262	-6.43082572171559	"Unchanged"	40	53	33	79	48	39.99	103.78	28.01	55.01	22.04
"98"	"TRINITY_DN10018_c2_g1"	-0.286591866275463	4.50775455311717	-2.77282094782385	0.0164383327890036	0.0660461157745163	-4.00314891079169	"Unchanged"	698.39	599.91	700.2	566.66	686.1	504.05	477.55	642.38	692.04	387.31
"99"	"TRINITY_DN100181_c0_g1"	0.444918695722298	2.96791215803224	2.80337623153122	0.0155214989680281	0.0635350429471305	-3.67686415951269	"Unchanged"	196	217	143	155	159	262	260	228	239	194
"100"	"TRINITY_DN100187_c0_g1"	0.468129378293576	-0.380584622421596	1.09678297368533	0.293586708049591	0.468972993572247	-5.56875037703166	"Unchanged"	13	34	8	38	14	20	19	21	24	21
"101"	"TRINITY_DN10019_c0_g1"	0.148475683354421	0.453295639844592	0.61533017231377	0.549467506234532	0.70340250079116	-6.15851352817394	"Unchanged"	33.01	29.08	28.17	42.82	43.33	38.44	21.86	39.96	35.56	44.28
"102"	"TRINITY_DN1002_c0_g1"	-0.468326065896256	4.24579388082031	-4.91005658477477	0.000327292164054382	0.00460627368558589	-0.0106102978512244	"Unchanged"	650	539	558	560	562	406	388	406	445	440
"103"	"TRINITY_DN10020_c0_g1"	0.310823828914889	0.50953018096951	1.18537283986004	0.258097494715015	0.43041862594593	-5.66852780346884	"Unchanged"	40.63	37.78	26.37	23.64	46.4	42.68	57.44	27.22	43.56	30.59
"104"	"TRINITY_DN10020_c0_g2"	0.622973083174355	0.274028560228304	2.21866241915764	0.0458764467895611	0.134139501571847	-4.15518142499606	"Unchanged"	39.27	39.72	25.73	12.91	23.4	35.63	23.26	37.76	47.54	43.19
"105"	"TRINITY_DN100204_c0_g1"	-0.763964853088142	-0.244543947053583	-3.06409516506356	0.00949992693918481	0.045385707493932	-2.61421209871167	"Unchanged"	32	29	31	21	36	12	21	16	19	10
"106"	"TRINITY_DN10021_c0_g1"	0.481204237869474	2.1399561602214	3.36621798930434	0.00537812572000939	0.0306663275214032	-2.47613713859682	"Unchanged"	94.67	96.69	104.22	107.91	83.8	147.58	120	145.4	135.44	119.18
"107"	"TRINITY_DN100213_c0_g1"	0.629496730817599	-0.532969635792086	2.14301696229356	0.0525998440802957	0.147317979041291	-4.12096428155899	"Unchanged"	12	23	18	8	20	20	15	18	28	22
"108"	"TRINITY_DN100214_c0_g1"	0.0434913368271486	2.1496976935489	0.204832599766574	0.841027924260732	0.907487925065528	-6.7243035285129	"Unchanged"	159.75	109.98	128.64	61.76	129.87	112.89	76.91	111.37	184.21	109.7
"109"	"TRINITY_DN100218_c0_g1"	0.633973830451094	-0.983790394450071	1.72101717807506	0.11009008923405	0.243103088714279	-4.64447858208104	"Unchanged"	16	17	9	5	13.36	11.39	10	27	18	11
"110"	"TRINITY_DN10022_c0_g1"	0.116753602895288	3.02008131693418	1.11868215808725	0.284486585675113	0.459454716558413	-6.30110189949732	"Unchanged"	204.7	174.11	198.67	215.74	210.68	233.98	181.66	223.8	244.57	207.07
"111"	"TRINITY_DN100227_c0_g1"	-0.211338118958822	0.18803586232755	-0.830013419006448	0.422229163546165	0.594414054282926	-5.94369497777513	"Unchanged"	55	27	37	22	31	21	21	22	45	23
"112"	"TRINITY_DN10023_c0_g1"	0.0233228082030509	3.79194341864944	0.287873453569869	0.778200230047635	0.867763701902011	-7.04834584488471	"Unchanged"	357	346	391	334	337	369	313	367	445	318
"113"	"TRINITY_DN10023_c0_g2"	-0.206633079622643	4.9475305371504	-1.84599578689645	0.0889010994669064	0.210299085146338	-5.65698412792416	"Unchanged"	940.31	924.76	960.86	678.28	805.24	679.56	574.6	737.33	904.93	831.81
"114"	"TRINITY_DN10023_c1_g1"	0.898944882653258	1.0824683352809	3.57682082336937	0.00362435952240489	0.023606636434603	-1.89451909101146	"Unchanged"	44.65	25.11	34.09	71.62	44.89	62.19	65.45	70.98	93.24	73.1
"115"	"TRINITY_DN10023_c1_g2"	0.335569553478362	2.05273378088499	1.87468023320448	0.0845897512593735	0.203466798684433	-5.07829843592287	"Unchanged"	120.97	72.76	79.59	119.07	95.48	142.43	100.61	111.96	122.12	120.92
"116"	"TRINITY_DN10023_c1_g3"	0.5454884423585	2.24011754604896	3.23944199828202	0.00682669589281754	0.0361017577537533	-2.72942444241893	"Unchanged"	107.11	105.07	117.78	104.86	78.16	195.73	127.05	113.58	174.76	132.49
"117"	"TRINITY_DN10023_c1_g4"	0.734836016961202	-0.921693092988562	1.55045967493188	0.14617716559886	0.293727135695283	-4.88804219011488	"Unchanged"	16.82	24.31	15.42	5.96	5.85	25.06	7.11	19.02	28.9	7.47
