"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"46"	"TRINITY_DN10015_c0_g2"	-0.00649254688070456	-0.9694873696366	-0.0144889641422597	0.988681826998573	0.994062582673708	-5.93097925243811	"Unchanged"	10.9	20.79	12.01	18.29	14.56	15.22	10.27	21.85	5.79	13.94
"47"	"TRINITY_DN10016_c0_g1"	-0.215691081138509	4.14309591728666	-2.07690730981776	0.0603230330811444	0.168929529706711	-5.12949047631599	"Unchanged"	434.01	517	573	485	585.01	447.68	394.01	470	472	437
"48"	"TRINITY_DN10017_c0_g1"	0.274431970823085	6.16539966372933	3.89034574082125	0.00221136103765812	0.018964910894113	-2.10377985939889	"Unchanged"	1728.99	1701.37	1923.65	1795.38	1765.57	2124.69	2067.83	2275.25	2358.75	1821.65
"49"	"TRINITY_DN10017_c1_g1"	-0.779887389831899	2.66864571288802	-4.46912034982783	0.000797617338407155	0.00964756404214453	-0.594370606132874	"Unchanged"	182.33	245.45	283.59	235.78	202.43	161.65	94.65	153.72	164.63	89.98
"50"	"TRINITY_DN10017_c2_g1"	0.471017671929138	-0.192806458409348	1.49262491889427	0.161766267452761	0.32405955514293	-5.09477122922985	"Unchanged"	20.2	14.55	24.06	26.34	22.91	35.86	36.64	16.36	23.22	23.24
"51"	"TRINITY_DN10017_c4_g1"	-0.149243633207154	0.942340970920938	-0.418964446746337	0.682762932457898	0.807631124164267	-6.32410699099062	"Unchanged"	51.68	60.34	92.06	67.7	31.2	68.6	19.21	45.75	52.4	67.87
"52"	"TRINITY_DN10017_c5_g1"	0.34938262890178	2.86141821920825	2.42352914510409	0.0324108071513312	0.111288220107962	-4.30657759251152	"Unchanged"	151.16	160.58	240.87	129.05	212.2	222.36	185.27	249.36	266.09	194.35
"53"	"TRINITY_DN10018_c0_g1"	-0.437886697010114	3.39200763892126	-1.28568711855243	0.223195852144383	0.400805951514752	-6.13564075549414	"Unchanged"	410.97	341.96	198.54	232.97	569.54	205.2	276.23	370.67	148.97	293.15
"54"	"TRINITY_DN10018_c0_g2"	0.512564586796895	3.1922135969427	1.62827651573968	0.129836854609317	0.280642555645196	-5.64205162294523	"Unchanged"	209.44	239.48	294.95	80.7	298.28	203.44	282.81	329.79	292.4	426.77
"55"	"TRINITY_DN10018_c0_g3"	-0.0846840571985666	2.96393555959751	-0.489898904822858	0.633181362490306	0.773261325133747	-6.75321362450847	"Unchanged"	284.23	194.61	230.82	209.16	182	238.69	131.54	291.99	222.65	171.78
"56"	"TRINITY_DN10018_c1_g1"	0.0579930534045557	2.05226210842876	0.262957934114304	0.79711529957999	0.884086918504235	-6.64122546687659	"Unchanged"	170.41	66.59	149.86	103.05	96.14	130.43	91.17	136.46	124.21	90.44
"57"	"TRINITY_DN10019_c0_g1"	0.224713792020008	3.13541453100424	1.11496983261266	0.287043347281824	0.472135688258087	-6.28242544753427	"Unchanged"	252.7	214.34	135.45	280.36	255.31	230.95	263.42	285.71	295.18	211.77
"58"	"TRINITY_DN10019_c1_g1"	-0.502171880501753	5.20404292530516	-5.43393931335319	0.000160426802071012	0.00347707168706565	0.690731623846827	"Unchanged"	1124.88	1110.55	1530.52	1071.49	1197.97	810.55	710.37	843.65	1111.77	725.39
"59"	"TRINITY_DN100190_c0_g1"	-0.296977050647321	-1.06647709104365	-0.720643637984004	0.485152431548183	0.658086448055634	-5.63018217036081	"Unchanged"	22.49	23.22	12.07	6.8	19.03	11.11	2.79	14.87	11.87	14.89
"60"	"TRINITY_DN1002_c0_g1"	-0.265191339073017	6.3448915059943	-2.18280156609526	0.0499966392141709	0.149088535423222	-5.20901739834721	"Unchanged"	2074.06	2324	3298.69	2468.88	2168.15	2090.73	1858.26	1997.6	2496.14	1579.79
"61"	"TRINITY_DN1002_c0_g2"	-0.669826412612118	1.30902936381612	-2.28175805305781	0.0418780977709216	0.132507953972484	-4.21925116894287	"Unchanged"	49.99	109.11	120.21	87.46	88.43	45.06	33.21	43.44	83.89	57.9
"62"	"TRINITY_DN10020_c0_g1"	-0.507999437624161	5.49460670686362	-3.93715953111132	0.00203346255876261	0.0179195279489822	-1.95620265524964	"Unchanged"	1643.81	1339.09	1967.94	1125.12	1421.03	1033.78	735.12	1275.3	1259.48	873.56
"63"	"TRINITY_DN10020_c1_g1"	-0.0651883171066123	3.19049286133421	-0.424539329041125	0.67880556049757	0.804942750429689	-6.83247914461411	"Unchanged"	244	229	262	269	267	241	194	176	386	249
"64"	"TRINITY_DN10021_c0_g1"	-0.00294314545401378	3.2446325208001	-0.0194089374015852	0.984839006682372	0.992108244923354	-6.93979198411999	"Unchanged"	268.62	252.84	321.58	254.32	199.7	202.1	246.04	298.72	293.01	252.16
"65"	"TRINITY_DN10022_c0_g1"	0.567813370165776	1.7975397606082	3.13385156950801	0.00878546054497795	0.0467185109141623	-2.83233214239957	"Unchanged"	76	74	73	81	89	154	113	106	99	101
"66"	"TRINITY_DN100228_c0_g1"	0.0143636265238683	-0.548800290845774	0.0354450591177355	0.972317038439398	0.985864455727401	-6.06390637797449	"Unchanged"	11	19	33	23	21	21	7	27	28	9
"67"	"TRINITY_DN10023_c0_g1"	0.205691152660528	3.39131920242859	1.13242478829344	0.279929304648367	0.464421532987911	-6.31523399475152	"Unchanged"	301.44	310.61	179.82	253.88	296.62	292.78	323.37	283.93	297.39	332.07
"68"	"TRINITY_DN10024_c0_g1"	0.0132318090523286	-0.491288003832346	0.0355768827498497	0.972214129822642	0.985824524145428	-6.0791249419642	"Unchanged"	17.65	21.04	23.16	17.54	21.19	36.81	19.67	13.46	9.84	18.4
"69"	"TRINITY_DN100247_c0_g1"	1.4250390068252	-1.20541703847329	3.11185056065723	0.0091491665254269	0.0479423740418157	-2.41581838571054	"Up-regulated"	10	3	14	6	14	18	11	15	23	24
"70"	"TRINITY_DN10025_c0_g1"	-0.293212122737074	1.38206243594543	-1.53546454537788	0.151021512801768	0.309733552990396	-5.38153914090376	"Unchanged"	77	65	73	74	113	69	61	58	57	65
"71"	"TRINITY_DN10025_c0_g2"	-0.665366320759333	4.25204451789992	-5.58818462623105	0.0001256446976993	0.00298822565708289	1.05396905920297	"Unchanged"	655.93	523.86	784.01	613.42	725.36	357.51	313.58	443.43	596.86	380.49
